_id,rt,trial_type,trial_index,time_elapsed,internal_node_id,subject,study_id,session_id,__v,response,theword,block,word,response_numeric,totcount
67dfae36aac2aea29b286fa6,11892,survey-multi-choice,9,45201,0,67dde02482375af55f0a0a50,67ddb44d013654f31f2c3dff,67dfad38da1bf4391e54e003,0,"{""Q0"":""material""}",pottery,practice_category,NA,NA,NA
67dfae36aac2aea29b286fa8,12665,survey-multi-choice,7,30078,0,67dde02482375af55f0a0a50,67ddb44d013654f31f2c3dff,67dfad38da1bf4391e54e003,0,"{""Q0"":""shape""}",square,practice_category,NA,NA,NA
67dfae36aac2aea29b286faa,1202,html-button-response,10,46404,0,67dde02482375af55f0a0a50,67ddb44d013654f31f2c3dff,67dfad38da1bf4391e54e003,0,0,NA,NA,NA,NA,NA
67dfae36aac2aea29b286fac,19057,survey-multi-choice,11,65462,0,67dde02482375af55f0a0a50,67ddb44d013654f31f2c3dff,67dfad38da1bf4391e54e003,0,"{""Q0"":""none of these""}",happiness,practice_category,NA,NA,NA
67dfae36aac2aea29b286fae,1975,html-button-response,12,67439,0,67dde02482375af55f0a0a50,67ddb44d013654f31f2c3dff,67dfad38da1bf4391e54e003,0,0,NA,NA,NA,NA,NA
67dfae36aac2aea29b286fb0,8106,survey-multi-choice,13,75547,0,67dde02482375af55f0a0a50,67ddb44d013654f31f2c3dff,67dfad38da1bf4391e54e003,0,"{""Q0"":""color""}",red,practice_category,NA,NA,NA
67dfae36aac2aea29b286fb2,1092,html-button-response,14,76640,0,67dde02482375af55f0a0a50,67ddb44d013654f31f2c3dff,67dfad38da1bf4391e54e003,0,0,NA,NA,NA,NA,NA
67dfae36aac2aea29b286fb4,1867,html-button-response,15,78508,0,67dde02482375af55f0a0a50,67ddb44d013654f31f2c3dff,67dfad38da1bf4391e54e003,0,0,NA,NA,NA,NA,NA
67dfae36aac2aea29b286fb6,14551,survey-multi-choice,16,93060,0,67dde02482375af55f0a0a50,67ddb44d013654f31f2c3dff,67dfad38da1bf4391e54e003,0,"{""Q0"":""none of these""}",ice,category_organization,NA,NA,NA
67dfae36aac2aea29b286fb8,10114,survey-multi-choice,17,103176,0,67dde02482375af55f0a0a50,67ddb44d013654f31f2c3dff,67dfad38da1bf4391e54e003,0,"{""Q0"":""none of these""}",ear,category_organization,NA,NA,NA
67dfae37aac2aea29b286fba,6429,survey-multi-choice,18,109606,0,67dde02482375af55f0a0a50,67ddb44d013654f31f2c3dff,67dfad38da1bf4391e54e003,0,"{""Q0"":""material""}",scarf,category_organization,NA,NA,NA
67dfae37aac2aea29b286fbc,4126,survey-multi-choice,19,113734,0,67dde02482375af55f0a0a50,67ddb44d013654f31f2c3dff,67dfad38da1bf4391e54e003,0,"{""Q0"":""material""}",coat,category_organization,NA,NA,NA
67dfae37aac2aea29b286fbe,4465,survey-multi-choice,20,118201,0,67dde02482375af55f0a0a50,67ddb44d013654f31f2c3dff,67dfad38da1bf4391e54e003,0,"{""Q0"":""material""}",glue (object),category_organization,NA,NA,NA
