Word,block,response,totcount,theword,proportion
Belly Button,category_organization,"Form, Color",29,배꼽,0.06896551724137931
Belly Button,category_organization,"Form, Material",29,배꼽,0.13793103448275862
Belly Button,category_organization,Material,29,배꼽,0.034482758620689655
Belly Button,count_mass,Can be counted,38,배꼽,0.7631578947368421
Belly Button,count_mass,I don't know/It's hard to say,38,배꼽,0.23684210526315788
Belly Button,solidity,I don't know/It's hard to say,29,배꼽,0.3103448275862069
Belly Button,solidity,Not a solid,29,배꼽,0.10344827586206896
Belly Button,solidity,Solid,29,배꼽,0.5862068965517241
Belt,category_organization,Form,29,허리띠,0.6206896551724138
Belt,category_organization,"Form, Color",29,허리띠,0.034482758620689655
Belt,category_organization,"Form, Color, Material",29,허리띠,0.10344827586206896
Belt,category_organization,"Form, Material",29,허리띠,0.1724137931034483
Belt,category_organization,Material,29,허리띠,0.06896551724137931
Belt,count_mass,Can be counted,32,허리띠,0.84375
Belt,count_mass,Cannot be counted,32,허리띠,0.0625
Belt,count_mass,I don't know/It's hard to say,32,허리띠,0.09375
Belt,solidity,I don't know/It's hard to say,29,허리띠,0.10344827586206896
Belt,solidity,Solid,29,허리띠,0.896551724137931
Bicycle,category_organization,Form,28,자전거,0.6428571428571429
Bicycle,category_organization,"Form, Color, Material",28,자전거,0.03571428571428571
Bicycle,category_organization,"Form, Material",28,자전거,0.25
Bicycle,category_organization,Material,28,자전거,0.07142857142857142
Bicycle,count_mass,Can be counted,30,자전거,0.9333333333333333
Bicycle,count_mass,I don't know/It's hard to say,30,자전거,0.06666666666666667
Bicycle,solidity,I don't know/It's hard to say,30,자전거,0.06666666666666667
Bicycle,solidity,Solid,30,자전거,0.9333333333333333
Bird,category_organization,Form,29,새,0.7586206896551724
Bird,category_organization,"Form, Color",29,새,0.034482758620689655
Bird,category_organization,"Form, Color, Material",29,새,0.034482758620689655
Bird,category_organization,"Form, Material",29,새,0.13793103448275862
Bird,category_organization,Material,29,새,0.034482758620689655
Bird,count_mass,Can be counted,36,새,0.75
Bird,count_mass,I don't know/It's hard to say,36,새,0.25
Bird,solidity,I don't know/It's hard to say,31,새,0.2903225806451613
Bird,solidity,Not a solid,31,새,0.0967741935483871
Bird,solidity,Solid,31,새,0.6129032258064516
Blanket,category_organization,Color,29,이불,0.034482758620689655
Blanket,category_organization,Form,29,이불,0.5517241379310345
Blanket,category_organization,"Form, Color, Material",29,이불,0.10344827586206896
Blanket,category_organization,"Form, Material",29,이불,0.27586206896551724
Blanket,category_organization,Material,29,이불,0.034482758620689655
Blanket,count_mass,Can be counted,34,이불,0.7941176470588235
Blanket,count_mass,I don't know/It's hard to say,34,이불,0.20588235294117646
Blanket,solidity,I don't know/It's hard to say,31,이불,0.22580645161290322
Blanket,solidity,Solid,31,이불,0.7741935483870968
Block,category_organization,Form,29,블럭,0.5172413793103449
