Submission id,Participant id,Status,Age,Sex
SESS0921,P1073,APPROVED,25,Male
SESS0922,P1435,APPROVED,18,Male
SESS0923,P1331,APPROVED,50,Male
SESS0924,P1234,APPROVED,24,Female
SESS0925,P1456,APPROVED,39,Male
SESS0926,P1444,APPROVED,21,Male
SESS0928,P1451,APPROVED,30,Male
SESS0929,P1199,APPROVED,31,Male
SESS0930,P1441,APPROVED,58,Female
SESS0931,P0536,APPROVED,47,Male
SESS0932,P0154,RETURNED,CONSENT_REVOKED,CONSENT_REVOKED
SESS0933,P0989,APPROVED,39,Male
SESS0934,P1420,APPROVED,26,Female
SESS0935,P1432,APPROVED,30,Male
SESS0936,P1455,APPROVED,18,Male
SESS0937,P1294,APPROVED,35,Male
SESS0938,P0517,APPROVED,34,Male
SESS0940,P0064,APPROVED,62,Female
SESS0943,P1452,APPROVED,30,Female
SESS0944,P1159,APPROVED,57,Male
SESS0945,P0786,APPROVED,30,Female
SESS0947,P1433,APPROVED,50,Female
SESS0948,P0957,RETURNED,CONSENT_REVOKED,CONSENT_REVOKED
SESS0949,P1251,APPROVED,46,Male
SESS0950,P1387,APPROVED,41,Female
SESS0951,P1429,APPROVED,22,Female
SESS0952,P0146,APPROVED,28,Female
SESS0953,P0312,APPROVED,42,Male
SESS0956,P1241,APPROVED,29,Female
SESS0957,P1184,APPROVED,49,Female
SESS0958,P0099,RETURNED,CONSENT_REVOKED,CONSENT_REVOKED
SESS0959,P1460,APPROVED,31,Male
SESS0960,P0329,APPROVED,34,Male
SESS0961,P1453,APPROVED,28,Male
SESS0962,P0683,APPROVED,60,Female
SESS0964,P0838,APPROVED,59,Female
SESS0965,P0419,APPROVED,36,Male
SESS0968,P0241,APPROVED,27,Male
SESS0969,P0696,APPROVED,60,Female
SESS0970,P0556,APPROVED,66,Male
SESS0972,P1283,APPROVED,25,Female
SESS0973,P0253,APPROVED,30,Male
SESS0974,P1126,APPROVED,47,Female
SESS0975,P1257,APPROVED,36,Male
SESS0976,P1165,APPROVED,34,Female
SESS0977,P1182,APPROVED,23,Female
SESS0978,P1399,APPROVED,53,Female
SESS0979,P0758,APPROVED,36,Female
SESS0980,P1282,APPROVED,29,Female
SESS0981,P1450,APPROVED,26,Female
SESS0982,P1398,APPROVED,30,Female
SESS0983,P1430,APPROVED,31,Male
SESS0984,P1434,APPROVED,20,Female
SESS0986,P1096,APPROVED,34,Female
SESS0987,P0406,APPROVED,46,Female
SESS0989,P1191,APPROVED,28,Male
SESS0990,P0323,APPROVED,34,Male
SESS0991,P1347,APPROVED,51,Female
SESS0992,P1322,APPROVED,59,Female
SESS0993,P0359,APPROVED,44,Male
SESS0994,P1252,APPROVED,46,Male
SESS0995,P1114,APPROVED,49,Female
SESS0996,P0496,APPROVED,54,Female
SESS0997,P0313,APPROVED,45,Male
SESS0999,P0754,APPROVED,59,Male
SESS1000,P0049,APPROVED,74,Female
SESS1001,P1261,APPROVED,42,Male
SESS1002,P0211,APPROVED,45,Male
SESS1003,P0802,APPROVED,27,Male
SESS1004,P0589,APPROVED,33,Male
SESS1005,P0578,APPROVED,61,Female
SESS1006,P1107,APPROVED,49,Male
SESS1007,P0437,APPROVED,48,Male
SESS1008,P1309,APPROVED,23,Female
SESS1009,P0033,APPROVED,45,Male
SESS1010,P0454,APPROVED,44,Female
SESS1011,P0765,APPROVED,70,Female
SESS1012,P0204,APPROVED,29,Female
SESS1013,P0793,APPROVED,49,Male
SESS1014,P0503,APPROVED,27,Male
SESS0998,P0972,RETURNED,CONSENT_REVOKED,CONSENT_REVOKED
