uni_lemma,response_norm,block,eng1,eng2,kor1,kor2
fire,solid,solidity,0.25,NA,0.125,NA
fire,count,count_mass,0.3333333333333333,NA,NA,0.16129032258064516
firetruck,solid,solidity,1,NA,NA,NA
firetruck,count,count_mass,0.9090909090909092,NA,0.875,NA
fish (animal),count,count_mass,0.9,NA,1,NA
fish (animal),solid,solidity,1,NA,1,NA
fish (food),solid,solidity,1,NA,0.8571428571428571,NA
fish (food),count,count_mass,0.6,NA,1,NA
flower,solid,solidity,0.7142857142857143,NA,1,0.6896551724137931
flower,count,count_mass,0.7777777777777778,NA,1,0.7575757575757576
food,count,count_mass,0.2222222222222222,NA,0.5,0.4186046511627907
food,solid,solidity,0.5,NA,0.5,0.3333333333333333
foot,solid,solidity,1,NA,1,0.7241379310344828
foot,count,count_mass,1,NA,1,0.8529411764705882
fork,count,count_mass,1,NA,1,0.9666666666666668
fork,solid,solidity,1,NA,1,0.9655172413793104
fox,count,count_mass,0.8571428571428571,NA,1,0.8055555555555556
fox,solid,solidity,0.8333333333333334,NA,1,0.6551724137931034
frog,solid,solidity,1,NA,0.8888888888888888,0.6333333333333333
frog,count,count_mass,0.8,NA,1,0.7777777777777778
fruit,count,count_mass,0.75,NA,1,0.7575757575757576
fruit,solid,solidity,1,NA,1,0.71875
giraffe,solid,solidity,0.8571428571428571,NA,1,0.6551724137931034
giraffe,count,count_mass,0.8571428571428571,NA,0.8,0.8055555555555556
glass,count,count_mass,0.2857142857142857,NA,0.5,0.6333333333333333
glass,solid,solidity,0.8571428571428571,NA,1,0.7941176470588235
glasses,count,count_mass,0.8333333333333334,NA,1,0.9333333333333332
glasses,solid,solidity,1,NA,0.8888888888888888,0.9655172413793104
glove,solid,solidity,0.8571428571428571,NA,1,NA
glove,count,count_mass,1,NA,1,NA
glue (object),count,count_mass,0.3333333333333333,NA,NA,NA
glue (object),solid,solidity,0.14285714285714285,NA,0.7,NA
goat,count,count_mass,0.8333333333333334,NA,1,0.8055555555555556
goat,solid,solidity,1,NA,0.8333333333333334,0.6551724137931034
grapes,solid,solidity,0.42857142857142855,NA,0.8181818181818182,NA
grapes,count,count_mass,0.5555555555555556,NA,1,NA
grass,solid,solidity,0.42857142857142855,NA,0.7,NA
ground,solid,solidity,0.8333333333333334,NA,0.5714285714285714,0.6551724137931034
ground,count,count_mass,0.5714285714285714,NA,NA,0.13333333333333333
gum,solid,solidity,0.5,NA,0.6666666666666666,0.7096774193548387
gum,count,count_mass,0.3333333333333333,NA,1,0.7575757575757576
gun,solid,solidity,1,NA,1,0.875
gun,count,count_mass,1,NA,0.8571428571428571,0.8666666666666667
hair,count,count_mass,0.42857142857142855,NA,0.5714285714285714,0.6060606060606061
hair,solid,solidity,0.5,NA,0.75,0.59375
hamburger,count,count_mass,0.8571428571428571,NA,1,0.8529411764705882
hamburger,solid,solidity,0.5555555555555556,NA,0.8333333333333334,0.7241379310344828
hammer,solid,solidity,1,NA,1,0.9655172413793104
hammer,count,count_mass,0.875,NA,1,0.9666666666666668
hand,count,count_mass,0.5,NA,1,0.8285714285714286
hand,solid,solidity,1,NA,1,0.6896551724137931
hanger,count,count_mass,0.8333333333333334,NA,1,NA
