uni_lemma,response_norm,block,proportion,sample
orange (food),solid,solidity,0.8571428571428571,eng1
orange (food),shape,category_organization,0.3333333333333333,eng1
orange (food),count,count_mass,0.8,eng1
owl,solid,solidity,0.875,eng1
owl,shape,category_organization,0.3636363636363637,eng1
owl,count,count_mass,0.75,eng1
pajamas,count,count_mass,0.6,eng1
pajamas,solid,solidity,1,eng1
pajamas,shape,category_organization,0.18181818181818185,eng1
pancake,count,count_mass,0.9166666666666666,eng1
pancake,shape,category_organization,0.5833333333333334,eng1
pancake,solid,solidity,0.7142857142857143,eng1
pants,shape,category_organization,0.3636363636363637,eng1
pants,count,count_mass,1,eng1
pants,solid,solidity,0.8888888888888888,eng1
paper,count,count_mass,0.6666666666666666,eng1
paper,solid,solidity,0.625,eng1
pasta,shape,category_organization,0.5,eng1
pasta,solid,solidity,0.6,eng1
peach,shape,category_organization,0.4,eng1
peach,solid,solidity,1,eng1
peach,count,count_mass,0.5,eng1
peanut,count,count_mass,0.75,eng1
peanut,solid,solidity,0.8571428571428571,eng1
pencil,shape,category_organization,0.5,eng1
pencil,count,count_mass,1,eng1
pencil,solid,solidity,1,eng1
penguin,solid,solidity,0.6666666666666666,eng1
penguin,shape,category_organization,0.2222222222222222,eng1
penguin,count,count_mass,1,eng1
penis,count,count_mass,0.7142857142857143,eng1
penis,solid,solidity,0.8,eng1
penis,shape,category_organization,0.3333333333333333,eng1
piano,shape,category_organization,0.7272727272727273,eng1
piano,count,count_mass,0.75,eng1
piano,solid,solidity,1,eng1
picture,shape,category_organization,0.15384615384615383,eng1
picture,count,count_mass,0.5714285714285714,eng1
picture,solid,solidity,0.5714285714285714,eng1
pig,count,count_mass,0.9,eng1
pig,solid,solidity,0.875,eng1
pigeon,shape,category_organization,0.5,eng1
pigeon,count,count_mass,0.8571428571428571,eng1
pillow,shape,category_organization,0.125,eng1
pillow,count,count_mass,0.5,eng1
pillow,solid,solidity,0.5714285714285714,eng1
pizza,shape,category_organization,0.4,eng1
