uni_lemma,response_norm,block,proportion,sample
watermelon,shape,category_organization,0.3,eng1
watermelon,count,count_mass,0.6666666666666666,eng1
watermelon,solid,solidity,0.7777777777777778,eng1
window,shape,category_organization,0.42857142857142855,eng1
window,count,count_mass,0.75,eng1
window,solid,solidity,0.8333333333333334,eng1
yogurt,count,count_mass,0.3333333333333333,eng1
airplane,shape,category_organization,0.5,eng2
animal,shape,category_organization,0.16666666666666666,eng2
ankle,shape,category_organization,0.5,eng2
ant,shape,category_organization,0.14285714285714285,eng2
apple,shape,category_organization,0.09090909090909093,eng2
arm,shape,category_organization,0.5555555555555556,eng2
back (body part),shape,category_organization,0.5555555555555556,eng2
bag,shape,category_organization,0.4444444444444444,eng2
balloon,shape,category_organization,0.25,eng2
banana,shape,category_organization,0.4117647058823529,eng2
bathtub,shape,category_organization,0.3,eng2
beans,shape,category_organization,0.2222222222222222,eng2
bear,shape,category_organization,0.1111111111111111,eng2
bed,shape,category_organization,0.5,eng2
bee,shape,category_organization,0.08333333333333333,eng2
belly button,shape,category_organization,0.6923076923076923,eng2
belt,shape,category_organization,0.1111111111111111,eng2
bicycle,shape,category_organization,0.6111111111111112,eng2
bird,shape,category_organization,0.38461538461538464,eng2
blanket,shape,category_organization,0.1111111111111111,eng2
blocks,shape,category_organization,0.8888888888888888,eng2
boat,shape,category_organization,0.2857142857142857,eng2
body,shape,category_organization,0.8888888888888888,eng2
book,shape,category_organization,0.21428571428571427,eng2
bottle,shape,category_organization,0.5833333333333334,eng2
boulder,shape,category_organization,0.5,eng2
bowl,shape,category_organization,1,eng2
box,shape,category_organization,0.9090909090909092,eng2
broom,shape,category_organization,0.625,eng2
bubbles,shape,category_organization,0.3333333333333333,eng2
bunny,shape,category_organization,0.2,eng2
bus,shape,category_organization,0.7,eng2
butt,shape,category_organization,0.631578947368421,eng2
butterfly,shape,category_organization,0.2,eng2
button,shape,category_organization,0.5,eng2
cabbage,shape,category_organization,0.2857142857142857,eng2
cake,shape,category_organization,0.2222222222222222,eng2
camera,shape,category_organization,0.1111111111111111,eng2
carrot,shape,category_organization,0.3,eng2
chair,shape,category_organization,0.7,eng2
cheek,shape,category_organization,0.25,eng2
cheese,shape,category_organization,0.25,eng2
chick,shape,category_organization,0.1111111111111111,eng2
chicken (animal),shape,category_organization,0.1111111111111111,eng2
chicken (food),shape,category_organization,0.1,eng2
chin,shape,category_organization,0.6,eng2
chopstick,shape,category_organization,0.7777777777777778,eng2
clock,shape,category_organization,0.4,eng2
closet,shape,category_organization,0.4545454545454546,eng2
cloud,shape,category_organization,0.3333333333333333,eng2
coat,shape,category_organization,0.5,eng2
comb (object),shape,category_organization,0.625,eng2
couch,shape,category_organization,0.6666666666666666,eng2
cow,shape,category_organization,0.38461538461538464,eng2
crocodile,shape,category_organization,0.2222222222222222,eng2
cup,shape,category_organization,0.7777777777777778,eng2
deer,shape,category_organization,0.15384615384615383,eng2
diaper,shape,category_organization,0.21428571428571427,eng2
dog,shape,category_organization,0.08333333333333333,eng2
doll,shape,category_organization,0.4545454545454546,eng2
donut,shape,category_organization,0.625,eng2
door,shape,category_organization,0.6363636363636364,eng2
drawer,shape,category_organization,0.5,eng2
dress (object),shape,category_organization,0.1,eng2
duck,shape,category_organization,0.25,eng2
ear,shape,category_organization,0.35294117647058826,eng2
egg,shape,category_organization,0.47368421052631576,eng2
eye,shape,category_organization,0.625,eng2
face,shape,category_organization,0.5,eng2
finger,shape,category_organization,0.38461538461538464,eng2
fingernail,shape,category_organization,0.16666666666666666,eng2
firetruck,shape,category_organization,0.3,eng2
fish (animal),shape,category_organization,0.4444444444444444,eng2
fish (food),shape,category_organization,0.2,eng2
foot,shape,category_organization,0.5,eng2
fork,shape,category_organization,0.7,eng2
frog,shape,category_organization,0.16666666666666666,eng2
fruit,shape,category_organization,0.15384615384615383,eng2
giraffe,shape,category_organization,0.125,eng2
glasses,shape,category_organization,0.3636363636363637,eng2
glove,shape,category_organization,0.8333333333333334,eng2
goat,shape,category_organization,0.25,eng2
grapes,shape,category_organization,0.1111111111111111,eng2
grass,shape,category_organization,0.05263157894736842,eng2
ground,shape,category_organization,0.09090909090909093,eng2
gun,shape,category_organization,0.1,eng2
hair,shape,category_organization,0.125,eng2
hamburger,shape,category_organization,0.3,eng2
hammer,shape,category_organization,0.3636363636363637,eng2
hand,shape,category_organization,0.25,eng2
hat,shape,category_organization,0.4615384615384616,eng2
head,shape,category_organization,0.5882352941176471,eng2
helicopter,shape,category_organization,0.4615384615384616,eng2
hip,shape,category_organization,0.5,eng2
hippopotamus,shape,category_organization,0.4444444444444444,eng2
horse,shape,category_organization,0.42857142857142855,eng2
hot dog,shape,category_organization,0.3636363636363637,eng2
ice,shape,category_organization,0.2,eng2
jacket,shape,category_organization,0.18181818181818185,eng2
key,shape,category_organization,0.6,eng2
knee,shape,category_organization,0.3333333333333333,eng2
knife,shape,category_organization,0.5384615384615384,eng2
ladder,shape,category_organization,0.4545454545454546,eng2
leg,shape,category_organization,0.35294117647058826,eng2
lion,shape,category_organization,0.125,eng2
lip,shape,category_organization,0.5454545454545454,eng2
medicine,shape,category_organization,0.18181818181818185,eng2
melon,shape,category_organization,0.18181818181818185,eng2
microwave,shape,category_organization,0.125,eng2
monkey,shape,category_organization,0.06666666666666667,eng2
moon,shape,category_organization,0.6666666666666666,eng2
motorcycle,shape,category_organization,0.5,eng2
mouse,shape,category_organization,0.4,eng2
mouth,shape,category_organization,0.4166666666666667,eng2
nail (object),shape,category_organization,0.3333333333333333,eng2
neck,shape,category_organization,0.5833333333333334,eng2
necklace,shape,category_organization,0.3,eng2
noodles,shape,category_organization,0.14285714285714285,eng2
nut,shape,category_organization,0.09090909090909093,eng2
orange (food),shape,category_organization,0.13333333333333333,eng2
pajamas,shape,category_organization,0.09090909090909093,eng2
pancake,shape,category_organization,0.1111111111111111,eng2
pants,shape,category_organization,0.3,eng2
pasta,shape,category_organization,0.4,eng2
peach,shape,category_organization,0.25,eng2
peanut,shape,category_organization,0.2222222222222222,eng2
pencil,shape,category_organization,0.07692307692307693,eng2
penis,shape,category_organization,0.3333333333333333,eng2
piano,shape,category_organization,0.5,eng2
pig,shape,category_organization,0.09090909090909093,eng2
pigeon,shape,category_organization,0.25,eng2
pillow,shape,category_organization,0.07692307692307693,eng2
pizza,shape,category_organization,0.3333333333333333,eng2
plate,shape,category_organization,0.9090909090909092,eng2
potato,shape,category_organization,0.1111111111111111,eng2
pumpkin,shape,category_organization,0.07692307692307693,eng2
radio,shape,category_organization,0.18181818181818185,eng2
rag,shape,category_organization,0.2222222222222222,eng2
refrigerator,shape,category_organization,0.3076923076923077,eng2
rice,shape,category_organization,0.06666666666666667,eng2
roof,shape,category_organization,0.25,eng2
room,shape,category_organization,0.21428571428571427,eng2
sand,shape,category_organization,0.25,eng2
scarf,shape,category_organization,0.4444444444444444,eng2
scissors,shape,category_organization,0.6,eng2
seesaw,shape,category_organization,0.2222222222222222,eng2
sheep,shape,category_organization,0.07142857142857142,eng2
shoe,shape,category_organization,0.625,eng2
shoulder,shape,category_organization,0.3076923076923077,eng2
skirt,shape,category_organization,0.4,eng2
sky,shape,category_organization,0.1,eng2
sled,shape,category_organization,0.7,eng2
slide (object),shape,category_organization,0.7777777777777778,eng2
snake,shape,category_organization,0.2,eng2
sneaker,shape,category_organization,0.2727272727272727,eng2
snowman,shape,category_organization,0.2222222222222222,eng2
soap,shape,category_organization,0.18181818181818185,eng2
sock,shape,category_organization,0.3333333333333333,eng2
soil,shape,category_organization,0.1,eng2
soup,shape,category_organization,0.09090909090909093,eng2
spaghetti,shape,category_organization,0.5,eng2
sparrow,shape,category_organization,0.25,eng2
spoon,shape,category_organization,0.75,eng2
squirrel,shape,category_organization,0.2727272727272727,eng2
stairs,shape,category_organization,0.9,eng2
star,shape,category_organization,0.6666666666666666,eng2
strawberry,shape,category_organization,0.2727272727272727,eng2
street,shape,category_organization,0.08333333333333333,eng2
stroller,shape,category_organization,0.3333333333333333,eng2
sun,shape,category_organization,0.26666666666666666,eng2
sweet potato,shape,category_organization,0.3333333333333333,eng2
swing (object),shape,category_organization,0.25,eng2
tangerine,shape,category_organization,0.25,eng2
taxi,shape,category_organization,0.25,eng2
telephone,shape,category_organization,0.25,eng2
tiger,shape,category_organization,0.1176470588235294,eng2
tongue,shape,category_organization,0.375,eng2
tooth,shape,category_organization,0.13333333333333333,eng2
toothbrush,shape,category_organization,0.3333333333333333,eng2
towel,shape,category_organization,0.2,eng2
toy (object),shape,category_organization,0.2,eng2
train,shape,category_organization,0.375,eng2
trash,shape,category_organization,0.08333333333333333,eng2
trash can,shape,category_organization,0.3636363636363637,eng2
tray,shape,category_organization,0.5454545454545454,eng2
tree,shape,category_organization,0.3333333333333333,eng2
truck,shape,category_organization,0.5384615384615384,eng2
tummy,shape,category_organization,0.4705882352941176,eng2
turtle,shape,category_organization,0.3333333333333333,eng2
tv,shape,category_organization,0.3333333333333333,eng2
umbrella,shape,category_organization,0.6153846153846154,eng2
underpants,shape,category_organization,0.3125,eng2
vacuum,shape,category_organization,0.18181818181818185,eng2
waist,shape,category_organization,0.25,eng2
wallet,shape,category_organization,0.25,eng2
washing machine,shape,category_organization,0.2222222222222222,eng2
watermelon,shape,category_organization,0.375,eng2
window,shape,category_organization,0.4444444444444444,eng2
bag,shape,category_organization,1,kor1
bag,count,count_mass,1,kor1
bag,solid,solidity,1,kor1
scissors,count,count_mass,1,kor1
scissors,solid,solidity,1,kor1
Persimmon,shape,category_organization,0.3,kor1
Persimmon,count,count_mass,1,kor1
Persimmon,solid,solidity,0.7,kor1
potato,shape,category_organization,0.16666666666666666,kor1
potato,count,count_mass,1,kor1
potato,solid,solidity,0.9166666666666666,kor1
dog,shape,category_organization,0.42857142857142855,kor1
dog,count,count_mass,0.9,kor1
dog,solid,solidity,0.875,kor1
frog,shape,category_organization,0.5,kor1
frog,count,count_mass,1,kor1
frog,solid,solidity,0.8888888888888888,kor1
ant,shape,category_organization,0.25,kor1
ant,count,count_mass,0.7142857142857143,kor1
ant,solid,solidity,0.75,kor1
turtle,shape,category_organization,1,kor1
turtle,count,count_mass,1,kor1
turtle,solid,solidity,0.9,kor1
rag,shape,category_organization,0.4,kor1
rag,count,count_mass,1,kor1
rag,solid,solidity,1,kor1
stairs,shape,category_organization,0.7777777777777778,kor1
stairs,count,count_mass,0.875,kor1
stairs,solid,solidity,0.75,kor1
egg,count,count_mass,1,kor1
egg,solid,solidity,0.6666666666666666,kor1
sweet potato,shape,category_organization,0.5,kor1
sweet potato,count,count_mass,1,kor1
sweet potato,solid,solidity,1,kor1
meat,count,count_mass,0.5,kor1
meat,solid,solidity,1,kor1
cat,shape,category_organization,0.3333333333333333,kor1
cat,count,count_mass,0.8333333333333334,kor1
cat,solid,solidity,0.875,kor1
penis,shape,category_organization,0.5,kor1
penis,count,count_mass,1,kor1
penis,solid,solidity,0.8333333333333334,kor1
bear,shape,category_organization,0.3333333333333333,kor1
bear,count,count_mass,0.6666666666666666,kor1
bear,solid,solidity,0.8,kor1
dinosaur,shape,category_organization,0.25,kor1
dinosaur,count,count_mass,1,kor1
dinosaur,solid,solidity,0.9,kor1
fruit,shape,category_organization,0.18181818181818185,kor1
fruit,count,count_mass,1,kor1
fruit,solid,solidity,1,kor1
dress shoe,shape,category_organization,0.5454545454545454,kor1
dress shoe,count,count_mass,1,kor1
dress shoe,solid,solidity,0.8333333333333334,kor1
cloud,shape,category_organization,0.2857142857142857,kor1
cloud,count,count_mass,0.4,kor1
cloud,solid,solidity,0.125,kor1
soup,shape,category_organization,0.5,kor1
soup,count,count_mass,0.1111111111111111,kor1
pasta,shape,category_organization,0.25,kor1
pasta,count,count_mass,0.625,kor1
pasta,solid,solidity,0.8333333333333334,kor1
ear,shape,category_organization,0.2,kor1
ear,count,count_mass,1,kor1
ear,solid,solidity,0.8888888888888888,kor1
tangerine,shape,category_organization,0.5,kor1
tangerine,count,count_mass,1,kor1
tangerine,solid,solidity,0.75,kor1
swing (object),shape,category_organization,0.5,kor1
swing (object),count,count_mass,1,kor1
swing (object),solid,solidity,0.75,kor1
bowl,shape,category_organization,0.42857142857142855,kor1
bowl,count,count_mass,1,kor1
bowl,solid,solidity,1,kor1
picture,shape,category_organization,0.6,kor1
picture,count,count_mass,1,kor1
picture,solid,solidity,0.9090909090909092,kor1
giraffe,shape,category_organization,0.4,kor1
giraffe,count,count_mass,0.8,kor1
giraffe,solid,solidity,1,kor1
diaper,shape,category_organization,0.25,kor1
diaper,count,count_mass,1,kor1
diaper,solid,solidity,1,kor1
train,shape,category_organization,0.25,kor1
train,count,count_mass,0.8888888888888888,kor1
train,solid,solidity,0.8,kor1
street,shape,category_organization,0.75,kor1
street,count,count_mass,0.8,kor1
street,solid,solidity,0.375,kor1
dried seaweed,count,count_mass,0.8571428571428571,kor1
dried seaweed,solid,solidity,1,kor1
kimchi,shape,category_organization,0.625,kor1
kimchi,count,count_mass,0.4,kor1
kimchi,solid,solidity,0.8333333333333334,kor1
gum,count,count_mass,1,kor1
gum,solid,solidity,0.6666666666666666,kor1
flower,shape,category_organization,0.125,kor1
flower,count,count_mass,1,kor1
flower,solid,solidity,1,kor1
tree,shape,category_organization,0.4,kor1
tree,count,count_mass,0.6666666666666666,kor1
tree,solid,solidity,1,kor1
butterfly,shape,category_organization,0.375,kor1
butterfly,count,count_mass,1,kor1
butterfly,solid,solidity,1,kor1
refrigerator,shape,category_organization,0.2857142857142857,kor1
refrigerator,count,count_mass,1,kor1
refrigerator,solid,solidity,0.8,kor1
eye,shape,category_organization,0.2222222222222222,kor1
snow,shape,category_organization,0.2222222222222222,kor1
eye,count,count_mass,0.5,kor1
snow,count,count_mass,0.5,kor1
eye,solid,solidity,0.2,kor1
snow,solid,solidity,0.2,kor1
snowman,shape,category_organization,0.2857142857142857,kor1
snowman,count,count_mass,1,kor1
snowman,solid,solidity,1,kor1
squirrel,shape,category_organization,0.42857142857142855,kor1
squirrel,count,count_mass,1,kor1
squirrel,solid,solidity,1,kor1
leg,shape,category_organization,0.7142857142857143,kor1
leg,count,count_mass,0.8888888888888888,kor1
leg,solid,solidity,1,kor1
button,shape,category_organization,0.5,kor1
button,count,count_mass,1,kor1
button,solid,solidity,1,kor1
moon,count,count_mass,1,kor1
moon,solid,solidity,0.875,kor1
chicken (animal),shape,category_organization,0.2857142857142857,kor1
chicken (animal),count,count_mass,1,kor1
chicken (animal),solid,solidity,1,kor1
chicken (food),count,count_mass,0.5,kor1
chicken (food),solid,solidity,0.8,kor1
carrot,shape,category_organization,0.2222222222222222,kor1
carrot,count,count_mass,1,kor1
carrot,solid,solidity,1,kor1
donut,shape,category_organization,0.6666666666666666,kor1
donut,count,count_mass,1,kor1
donut,solid,solidity,0.8333333333333334,kor1
money,shape,category_organization,0.4,kor1
money,count,count_mass,1,kor1
money,solid,solidity,0.75,kor1
stone,count,count_mass,0.6666666666666666,kor1
stone,solid,solidity,1,kor1
animal,shape,category_organization,0.5,kor1
animal,count,count_mass,0.875,kor1
animal,solid,solidity,0.6666666666666666,kor1
pig,shape,category_organization,0.25,kor1
pig,count,count_mass,1,kor1
pig,solid,solidity,0.8,kor1
back (body part),shape,category_organization,0.2,kor1
back (body part),count,count_mass,0.625,kor1
back (body part),solid,solidity,0.8,kor1
strawberry,shape,category_organization,0.3,kor1
strawberry,count,count_mass,1,kor1
strawberry,solid,solidity,1,kor1
ground,shape,category_organization,0.3333333333333333,kor1
ground,solid,solidity,0.5714285714285714,kor1
peanut,shape,category_organization,0.5,kor1
peanut,count,count_mass,1,kor1
peanut,solid,solidity,1,kor1
rice cake,count,count_mass,1,kor1
rice cake,solid,solidity,0.8,kor1
butt,shape,category_organization,0.5,kor1
butt,count,count_mass,0.7777777777777778,kor1
butt,solid,solidity,0.7142857142857143,kor1
radio,shape,category_organization,0.2857142857142857,kor1
radio,count,count_mass,1,kor1
radio,solid,solidity,1,kor1
noodles,shape,category_organization,0.25,kor1
noodles,count,count_mass,0.8571428571428571,kor1
noodles,solid,solidity,0.5,kor1
robot,shape,category_organization,0.3333333333333333,kor1
robot,count,count_mass,1,kor1
robot,solid,solidity,1,kor1
horse,shape,category_organization,0.25,kor1
horse,count,count_mass,0.5,kor1
horse,solid,solidity,1,kor1
hammer,shape,category_organization,0.5,kor1
hammer,count,count_mass,1,kor1
hammer,solid,solidity,1,kor1
head,shape,category_organization,0.5,kor1
head,count,count_mass,0.875,kor1
head,solid,solidity,0.8888888888888888,kor1
hair,shape,category_organization,0.14285714285714285,kor1
hair,count,count_mass,0.5714285714285714,kor1
hair,solid,solidity,0.75,kor1
melon,count,count_mass,1,kor1
melon,solid,solidity,1,kor1
sand,shape,category_organization,0.2857142857142857,kor1
sand,count,count_mass,0.2,kor1
sand,solid,solidity,0.5,kor1
hat,shape,category_organization,0.7777777777777778,kor1
hat,count,count_mass,1,kor1
hat,solid,solidity,0.7142857142857143,kor1
neck,shape,category_organization,0.75,kor1
neck,count,count_mass,1,kor1
neck,solid,solidity,0.6666666666666666,kor1
necklace,shape,category_organization,0.7777777777777778,kor1
necklace,count,count_mass,1,kor1
necklace,solid,solidity,1,kor1
scarf,shape,category_organization,0.2857142857142857,kor1
scarf,count,count_mass,1,kor1
scarf,solid,solidity,0.75,kor1
bathtub,shape,category_organization,0.42857142857142855,kor1
bathtub,count,count_mass,0.8571428571428571,kor1
bathtub,solid,solidity,0.6666666666666666,kor1
body,count,count_mass,0.9,kor1
body,solid,solidity,0.8333333333333334,kor1
nail (object),shape,category_organization,0.8,kor1
nail (object),count,count_mass,1,kor1
nail (object),solid,solidity,1,kor1
radish,shape,category_organization,0.5,kor1
radish,count,count_mass,1,kor1
radish,solid,solidity,0.8888888888888888,kor1
knee,shape,category_organization,0.2,kor1
knee,count,count_mass,1,kor1
knee,solid,solidity,0.8,kor1
door,shape,category_organization,1,kor1
door,count,count_mass,1,kor1
door,solid,solidity,1,kor1
fish (animal),shape,category_organization,1,kor1
fish (animal),count,count_mass,1,kor1
fish (animal),solid,solidity,1,kor1
slide (object),shape,category_organization,0.5,kor1
slide (object),count,count_mass,1,kor1
slide (object),solid,solidity,1,kor1
banana,shape,category_organization,0.75,kor1
banana,count,count_mass,1,kor1
banana,solid,solidity,1,kor1
wind,shape,category_organization,0.2,kor1
boulder,shape,category_organization,0.18181818181818185,kor1
boulder,count,count_mass,0.6666666666666666,kor1
boulder,solid,solidity,1,kor1
pants,shape,category_organization,0.8,kor1
pants,count,count_mass,1,kor1
pants,solid,solidity,0.875,kor1
foot,shape,category_organization,0.3333333333333333,kor1
foot,count,count_mass,1,kor1
foot,solid,solidity,1,kor1
ankle,shape,category_organization,0.625,kor1
ankle,count,count_mass,1,kor1
ankle,solid,solidity,1,kor1
fingernail,shape,category_organization,0.6666666666666666,kor1
fingernail,count,count_mass,0.6,kor1
fingernail,solid,solidity,1,kor1
nut,shape,category_organization,0.125,kor1
nut,count,count_mass,0.75,kor1
nut,solid,solidity,0.5714285714285714,kor1
room,shape,category_organization,0.6666666666666666,kor1
room,count,count_mass,0.5,kor1
room,solid,solidity,0.4,kor1
boat,shape,category_organization,0.5,kor1
tummy,shape,category_organization,0.5,kor1
boat,count,count_mass,1,kor1
tummy,count,count_mass,1,kor1
boat,solid,solidity,1,kor1
tummy,solid,solidity,1,kor1
belly button,shape,category_organization,0.6666666666666666,kor1
belly button,count,count_mass,1,kor1
belly button,solid,solidity,0.7142857142857143,kor1
cabbage,count,count_mass,1,kor1
cabbage,solid,solidity,1,kor1
snake,shape,category_organization,1,kor1
snake,count,count_mass,1,kor1
snake,solid,solidity,0.75,kor1
bus,shape,category_organization,0.875,kor1
bus,count,count_mass,1,kor1
bus,solid,solidity,1,kor1
bee,shape,category_organization,0.6666666666666666,kor1
bee,count,count_mass,1,kor1
bee,solid,solidity,1,kor1
bug,shape,category_organization,0.3333333333333333,kor1
bug,count,count_mass,0.8,kor1
bug,solid,solidity,0.6666666666666666,kor1
pillow,shape,category_organization,0.4444444444444444,kor1
pillow,count,count_mass,1,kor1
pillow,solid,solidity,0.8,kor1
star,count,count_mass,0.625,kor1
star,solid,solidity,0.5,kor1
bottle,shape,category_organization,0.8333333333333334,kor1
bottle,count,count_mass,0.875,kor1
bottle,solid,solidity,1,kor1
chick,count,count_mass,1,kor1
chick,solid,solidity,1,kor1
peach,shape,category_organization,0.2222222222222222,kor1
peach,count,count_mass,1,kor1
peach,solid,solidity,0.8,kor1
owl,shape,category_organization,0.4545454545454546,kor1
owl,count,count_mass,1,kor1
owl,solid,solidity,1,kor1
kitchen,shape,category_organization,0.5,kor1
kitchen,count,count_mass,0.7142857142857143,kor1
kitchen,solid,solidity,1,kor1
fire,shape,category_organization,0.25,kor1
fire,solid,solidity,0.125,kor1
firetruck,count,count_mass,0.875,kor1
blocks,shape,category_organization,1,kor1
blocks,count,count_mass,1,kor1
blocks,solid,solidity,1,kor1
soap,shape,category_organization,0.25,kor1
soap,count,count_mass,1,kor1
soap,solid,solidity,1,kor1
bubbles,count,count_mass,0.6666666666666666,kor1
pigeon,shape,category_organization,0.5,kor1
pigeon,count,count_mass,1,kor1
pigeon,solid,solidity,0.875,kor1
airplane,shape,category_organization,0.3333333333333333,kor1
airplane,count,count_mass,1,kor1
airplane,solid,solidity,0.75,kor1
comb (object),shape,category_organization,0.5714285714285714,kor1
comb (object),count,count_mass,1,kor1
comb (object),solid,solidity,1,kor1
broom,shape,category_organization,1,kor1
broom,count,count_mass,1,kor1
broom,solid,solidity,1,kor1
cheek,shape,category_organization,0.4,kor1
cheek,count,count_mass,1,kor1
cheek,solid,solidity,0.5,kor1
apple,shape,category_organization,0.1111111111111111,kor1
apple,count,count_mass,1,kor1
apple,solid,solidity,1,kor1
ladder,shape,category_organization,0.8,kor1
ladder,count,count_mass,1,kor1
ladder,solid,solidity,0.5,kor1
deer,shape,category_organization,0.4545454545454546,kor1
deer,count,count_mass,1,kor1
deer,solid,solidity,1,kor1
soda,count,count_mass,0.6,kor1
lion,shape,category_organization,0.25,kor1
lion,count,count_mass,1,kor1
lion,solid,solidity,0.875,kor1
candy,count,count_mass,1,kor1
candy,solid,solidity,0.875,kor1
box,shape,category_organization,0.6666666666666666,kor1
box,count,count_mass,1,kor1
box,solid,solidity,0.75,kor1
bird,shape,category_organization,1,kor1
bird,count,count_mass,1,kor1
bird,solid,solidity,1,kor1
fish (food),count,count_mass,1,kor1
fish (food),solid,solidity,0.8571428571428571,kor1
drawer,shape,category_organization,0.75,kor1
drawer,count,count_mass,0.875,kor1
drawer,solid,solidity,1,kor1
present,shape,category_organization,0.16666666666666666,kor1
present,count,count_mass,1,kor1
present,solid,solidity,0.7777777777777778,kor1
sugar,count,count_mass,0.2,kor1
sugar,solid,solidity,0.8571428571428571,kor1
washing machine,shape,category_organization,0.5,kor1
washing machine,count,count_mass,0.8333333333333334,kor1
washing machine,solid,solidity,1,kor1
cow,shape,category_organization,0.2,kor1
cow,count,count_mass,1,kor1
cow,solid,solidity,0.8,kor1
salt,count,count_mass,0.18181818181818185,kor1
salt,solid,solidity,0.6,kor1
couch,shape,category_organization,0.875,kor1
couch,count,count_mass,0.9,kor1
couch,solid,solidity,1,kor1
hand,shape,category_organization,0.6,kor1
hand,count,count_mass,1,kor1
hand,solid,solidity,1,kor1
finger,shape,category_organization,0.8333333333333334,kor1
finger,count,count_mass,1,kor1
finger,solid,solidity,1,kor1
calf,shape,category_organization,0.4,kor1
calf,count,count_mass,1,kor1
calf,solid,solidity,0.8,kor1
towel,count,count_mass,0.9166666666666666,kor1
towel,solid,solidity,1,kor1
watermelon,shape,category_organization,0.25,kor1
watermelon,count,count_mass,1,kor1
watermelon,solid,solidity,1,kor1
spoon,shape,category_organization,0.875,kor1
spoon,count,count_mass,1,kor1
spoon,solid,solidity,1,kor1
spaghetti,shape,category_organization,0.16666666666666666,kor1
spaghetti,count,count_mass,0.2857142857142857,kor1
spaghetti,solid,solidity,0.8333333333333334,kor1
clock,shape,category_organization,0.75,kor1
clock,count,count_mass,1,kor1
clock,solid,solidity,1,kor1
seesaw,shape,category_organization,0.6,kor1
seesaw,count,count_mass,0.8888888888888888,kor1
seesaw,solid,solidity,1,kor1
shoe,shape,category_organization,1,kor1
shoe,count,count_mass,1,kor1
shoe,solid,solidity,1,kor1
rice,shape,category_organization,0.42857142857142855,kor1
rice,count,count_mass,0.2857142857142857,kor1
rice,solid,solidity,1,kor1
sled,shape,category_organization,0.8888888888888888,kor1
sled,count,count_mass,0.9,kor1
sled,solid,solidity,0.8,kor1
trash,shape,category_organization,0.42857142857142855,kor1
trash,solid,solidity,0.6,kor1
trash can,count,count_mass,1,kor1
trash can,solid,solidity,1,kor1
ice cream,count,count_mass,0.8571428571428571,kor1
ice cream,solid,solidity,0.3333333333333333,kor1
crocodile,shape,category_organization,0.5,kor1
crocodile,count,count_mass,1,kor1
crocodile,solid,solidity,1,kor1
glasses,shape,category_organization,0.7777777777777778,kor1
glasses,count,count_mass,1,kor1
glasses,solid,solidity,0.8888888888888888,kor1
medicine,count,count_mass,0.875,kor1
medicine,solid,solidity,0.6,kor1
sheep,shape,category_organization,0.5,kor1
sheep,count,count_mass,0.9,kor1
sheep,solid,solidity,1,kor1
sock,shape,category_organization,0.8,kor1
sock,count,count_mass,1,kor1
sock,solid,solidity,1,kor1
shoulder,shape,category_organization,0.6666666666666666,kor1
shoulder,count,count_mass,0.7777777777777778,kor1
shoulder,solid,solidity,0.75,kor1
face,shape,category_organization,0.8,kor1
face,count,count_mass,1,kor1
face,solid,solidity,0.8571428571428571,kor1
ice,shape,category_organization,0.25,kor1
ice,count,count_mass,0.5,kor1
ice,solid,solidity,0.6,kor1
hip,shape,category_organization,0.25,kor1
hip,count,count_mass,0.9,kor1
hip,solid,solidity,0.8333333333333334,kor1
fox,shape,category_organization,0.5555555555555556,kor1
fox,count,count_mass,1,kor1
fox,solid,solidity,1,kor1
pencil,shape,category_organization,0.5,kor1
pencil,count,count_mass,1,kor1
pencil,solid,solidity,0.8333333333333334,kor1
key,shape,category_organization,0.8333333333333334,kor1
key,count,count_mass,1,kor1
key,solid,solidity,1,kor1
goat,shape,category_organization,0.25,kor1
goat,count,count_mass,1,kor1
goat,solid,solidity,0.8333333333333334,kor1
orange (food),shape,category_organization,0.14285714285714285,kor1
orange (food),count,count_mass,0.8888888888888888,kor1
orange (food),solid,solidity,0.7692307692307693,kor1
duck,count,count_mass,1,kor1
duck,solid,solidity,1,kor1
motorcycle,shape,category_organization,0.8,kor1
motorcycle,count,count_mass,1,kor1
motorcycle,solid,solidity,1,kor1
corn,shape,category_organization,0.18181818181818185,kor1
corn,count,count_mass,1,kor1
corn,solid,solidity,1,kor1
dress (object),shape,category_organization,0.6666666666666666,kor1
dress (object),count,count_mass,1,kor1
dress (object),solid,solidity,0.7142857142857143,kor1
hanger,shape,category_organization,0.5,kor1
hanger,count,count_mass,1,kor1
hanger,solid,solidity,1,kor1
closet,shape,category_organization,0.9090909090909092,kor1
closet,count,count_mass,1,kor1
closet,solid,solidity,1,kor1
yogurt,count,count_mass,0.3333333333333333,kor1
yogurt,solid,solidity,0.14285714285714285,kor1
umbrella,shape,category_organization,0.4,kor1
umbrella,count,count_mass,1,kor1
umbrella,solid,solidity,0.75,kor1
sneaker,shape,category_organization,0.6666666666666666,kor1
sneaker,count,count_mass,1,kor1
sneaker,solid,solidity,0.7142857142857143,kor1
monkey,shape,category_organization,0.6,kor1
monkey,count,count_mass,1,kor1
monkey,solid,solidity,0.6363636363636364,kor1
glass,count,count_mass,0.5,kor1
glass,solid,solidity,1,kor1
stroller,shape,category_organization,0.6666666666666666,kor1
stroller,count,count_mass,1,kor1
stroller,solid,solidity,0.9090909090909092,kor1
food,shape,category_organization,0.2,kor1
