Word,block,response,totcount,theword,proportion,uni_lemma,language,eng_response,matching_response,cleaned_response
Bee,count_mass,Cannot be counted,29,벌,0.13793103448275862,Bee,Korean,Cannot be counted,mass,cannot be counted
Bee,solidity,I don't know/It's hard to say,29,벌,0.2413793103448276,Bee,Korean,I don't know/It's hard to say,unknown,i dont knowits hard to say
Bee,solidity,Not a solid,29,벌,0.10344827586206896,Bee,Korean,Not a solid,non-solid,not a solid
Bee,solidity,Solid,29,벌,0.6551724137931034,Bee,Korean,Solid,solid,solid
Belly Button,category_organization,Form,29,배꼽,0.7586206896551724,Belly Button,Korean,Form,shape,form
Belly Button,category_organization,"Form, Color",29,배꼽,0.06896551724137931,Belly Button,Korean,"Form, Color",multiple,form color
Belly Button,category_organization,"Form, Material",29,배꼽,0.13793103448275862,Belly Button,Korean,"Form, Material",multiple,form material
Belly Button,category_organization,Material,29,배꼽,0.03448275862068965,Belly Button,Korean,Material,material,material
Belly Button,count_mass,Can be counted,29,배꼽,1,Belly Button,Korean,Can be counted,count,can be counted
Belly Button,solidity,I don't know/It's hard to say,29,배꼽,0.3103448275862069,Belly Button,Korean,I don't know/It's hard to say,unknown,i dont knowits hard to say
Belly Button,solidity,Not a solid,29,배꼽,0.10344827586206896,Belly Button,Korean,Not a solid,non-solid,not a solid
Belly Button,solidity,Solid,29,배꼽,0.5862068965517241,Belly Button,Korean,Solid,solid,solid
Belt,category_organization,Form,29,허리띠,0.6206896551724138,Belt,Korean,Form,shape,form
Belt,category_organization,"Form, Color",29,허리띠,0.03448275862068965,Belt,Korean,"Form, Color",multiple,form color
Belt,category_organization,"Form, Color, Material",29,허리띠,0.10344827586206896,Belt,Korean,"Form, Color, Material",multiple,form color material
Belt,category_organization,"Form, Material",29,허리띠,0.1724137931034483,Belt,Korean,"Form, Material",multiple,form material
Belt,category_organization,Material,29,허리띠,0.06896551724137931,Belt,Korean,Material,material,material
Belt,count_mass,Can be counted,29,허리띠,0.9310344827586207,Belt,Korean,Can be counted,count,can be counted
Belt,count_mass,Cannot be counted,29,허리띠,0.06896551724137931,Belt,Korean,Cannot be counted,mass,cannot be counted
Belt,solidity,I don't know/It's hard to say,29,허리띠,0.10344827586206896,Belt,Korean,I don't know/It's hard to say,unknown,i dont knowits hard to say
Belt,solidity,Solid,29,허리띠,0.896551724137931,Belt,Korean,Solid,solid,solid
Bicycle,category_organization,Form,28,자전거,0.6428571428571429,Bicycle,Korean,Form,shape,form
Bicycle,category_organization,"Form, Color, Material",28,자전거,0.03571428571428571,Bicycle,Korean,"Form, Color, Material",multiple,form color material
Bicycle,category_organization,"Form, Material",28,자전거,0.25,Bicycle,Korean,"Form, Material",multiple,form material
Bicycle,category_organization,Material,28,자전거,0.07142857142857142,Bicycle,Korean,Material,material,material
Bicycle,count_mass,Can be counted,29,자전거,0.9655172413793104,Bicycle,Korean,Can be counted,count,can be counted
Bicycle,count_mass,I don't know/It's hard to say,29,자전거,0.034482758620689655,Bicycle,Korean,I don't know/It's hard to say,unknown,i dont knowits hard to say
Bicycle,solidity,I don't know/It's hard to say,29,자전거,0.034482758620689655,Bicycle,Korean,I don't know/It's hard to say,unknown,i dont knowits hard to say
Bicycle,solidity,Solid,29,자전거,0.9655172413793104,Bicycle,Korean,Solid,solid,solid
Bird,category_organization,Form,29,새,0.7586206896551724,Bird,Korean,Form,shape,form
Bird,category_organization,"Form, Color",29,새,0.03448275862068965,Bird,Korean,"Form, Color",multiple,form color
Bird,category_organization,"Form, Color, Material",29,새,0.03448275862068965,Bird,Korean,"Form, Color, Material",multiple,form color material
Bird,category_organization,"Form, Material",29,새,0.13793103448275862,Bird,Korean,"Form, Material",multiple,form material
Bird,category_organization,Material,29,새,0.03448275862068965,Bird,Korean,Material,material,material
Bird,count_mass,Can be counted,29,새,0.9310344827586207,Bird,Korean,Can be counted,count,can be counted
Bird,count_mass,I don't know/It's hard to say,29,새,0.06896551724137931,Bird,Korean,I don't know/It's hard to say,unknown,i dont knowits hard to say
Bird,solidity,I don't know/It's hard to say,29,새,0.2413793103448276,Bird,Korean,I don't know/It's hard to say,unknown,i dont knowits hard to say
Bird,solidity,Not a solid,29,새,0.10344827586206896,Bird,Korean,Not a solid,non-solid,not a solid
Bird,solidity,Solid,29,새,0.6551724137931034,Bird,Korean,Solid,solid,solid
Blanket,category_organization,Color,29,이불,0.03448275862068965,Blanket,Korean,Color,color,color
Blanket,category_organization,Form,29,이불,0.5517241379310345,Blanket,Korean,Form,shape,form
Blanket,category_organization,"Form, Color, Material",29,이불,0.10344827586206896,Blanket,Korean,"Form, Color, Material",multiple,form color material
Blanket,category_organization,"Form, Material",29,이불,0.27586206896551724,Blanket,Korean,"Form, Material",multiple,form material
Blanket,category_organization,Material,29,이불,0.03448275862068965,Blanket,Korean,Material,material,material
Blanket,count_mass,Can be counted,29,이불,0.9310344827586207,Blanket,Korean,Can be counted,count,can be counted
Blanket,count_mass,I don't know/It's hard to say,29,이불,0.06896551724137931,Blanket,Korean,I don't know/It's hard to say,unknown,i dont knowits hard to say
Blanket,solidity,I don't know/It's hard to say,29,이불,0.1724137931034483,Blanket,Korean,I don't know/It's hard to say,unknown,i dont knowits hard to say
Blanket,solidity,Solid,29,이불,0.8275862068965517,Blanket,Korean,Solid,solid,solid
Block,category_organization,Form,29,블럭,0.5172413793103449,Block,Korean,Form,shape,form
Block,category_organization,"Form, Color",29,블럭,0.06896551724137931,Block,Korean,"Form, Color",multiple,form color
Block,category_organization,"Form, Color, Material",29,블럭,0.10344827586206896,Block,Korean,"Form, Color, Material",multiple,form color material
Block,category_organization,"Form, Material",29,블럭,0.1724137931034483,Block,Korean,"Form, Material",multiple,form material
Block,category_organization,Material,29,블럭,0.10344827586206896,Block,Korean,Material,material,material
