word,_id,rt,trial_type,trial_index,time_elapsed,internal_node_id,subject,study_id,session_id,__v,response,theword,block,uni_lemma,response_numeric,totcount,count,.groups,shape_rating,language,eng_response
duck,67dfb0beaac2aea29b2874d0,3350,survey-multi-choice,35,198001,0,56ee27ad65ca4d000cc39dd3,67ddb44d013654f31f2c3dff,67dfafdcba2440ff71254b71,0,shape,duck,category_organization,duck,0,16,4,drop,0.25,Japanese,shape
duck,67dfb0beaac2aea29b2874d0,3350,survey-multi-choice,35,198001,0,56ee27ad65ca4d000cc39dd3,67ddb44d013654f31f2c3dff,67dfafdcba2440ff71254b71,0,shape,duck,category_organization,duck,0,16,4,drop,0.25,Korean,shape
duck,67dfb0beaac2aea29b2874d0,3350,survey-multi-choice,35,198001,0,56ee27ad65ca4d000cc39dd3,67ddb44d013654f31f2c3dff,67dfafdcba2440ff71254b71,0,shape,duck,category_organization,duck,0,16,4,drop,0.25,Russian,shape
duck,67dfb0beaac2aea29b2874d0,3350,survey-multi-choice,35,198001,0,56ee27ad65ca4d000cc39dd3,67ddb44d013654f31f2c3dff,67dfafdcba2440ff71254b71,0,shape,duck,category_organization,duck,0,16,4,drop,0.25,Spanish (Mexican),shape
duck,67dfb0beaac2aea29b2874d0,3350,survey-multi-choice,35,198001,0,56ee27ad65ca4d000cc39dd3,67ddb44d013654f31f2c3dff,67dfafdcba2440ff71254b71,0,shape,duck,category_organization,duck,0,16,4,drop,0.25,Mandarin (Beijing),shape
duck,67dfb0beaac2aea29b2874d0,3350,survey-multi-choice,35,198001,0,56ee27ad65ca4d000cc39dd3,67ddb44d013654f31f2c3dff,67dfafdcba2440ff71254b71,0,shape,duck,category_organization,duck,0,16,4,drop,0.25,Turkish,shape
duck,67dfb0beaac2aea29b2874d0,3350,survey-multi-choice,35,198001,0,56ee27ad65ca4d000cc39dd3,67ddb44d013654f31f2c3dff,67dfafdcba2440ff71254b71,0,shape,duck,category_organization,duck,0,16,4,drop,0.25,English (American),shape
duck,67dfb0beaac2aea29b2874d0,3350,survey-multi-choice,35,198001,0,56ee27ad65ca4d000cc39dd3,67ddb44d013654f31f2c3dff,67dfafdcba2440ff71254b71,0,shape,duck,category_organization,duck,0,16,4,drop,0.25,Cantonese,shape
duck,67dfb0beaac2aea29b2874d0,3350,survey-multi-choice,35,198001,0,56ee27ad65ca4d000cc39dd3,67ddb44d013654f31f2c3dff,67dfafdcba2440ff71254b71,0,shape,duck,category_organization,duck,0,16,4,drop,0.25,Catalan,shape
duck,67dfb0beaac2aea29b2874d0,3350,survey-multi-choice,35,198001,0,56ee27ad65ca4d000cc39dd3,67ddb44d013654f31f2c3dff,67dfafdcba2440ff71254b71,0,shape,duck,category_organization,duck,0,16,4,drop,0.25,English (Australian),shape
duck,67dfb0beaac2aea29b2874d0,3350,survey-multi-choice,35,198001,0,56ee27ad65ca4d000cc39dd3,67ddb44d013654f31f2c3dff,67dfafdcba2440ff71254b71,0,shape,duck,category_organization,duck,0,16,4,drop,0.25,Spanish (European),shape
duck,67dfb5a1aac2aea29b2883f6,5547,survey-multi-choice,35,195082,0,5d6d729b679b200019c12498,67ddb44d013654f31f2c3dff,67dfb4c567ae66f6f4102823,0,shape,duck,category_organization,duck,0,16,4,drop,0.25,French (French),shape
