subject,response_format,word_order,condition_code,n_cat_trials,median_rt_ms,mean_rt_ms,min_rt_ms,frac_under_1s,lavender_trials,att_pass,flag_explicit_id,flag_no_attention,flag_fast,reject_reasons,decision
P1744,multi_select,random,ms_random,20,16442,15691,4020,0,1,TRUE,FALSE,FALSE,FALSE,,PAY
P1745,multi_select,semantic_blocked,ms_blocked,20,3974.5,4189,2475,0,1,TRUE,FALSE,FALSE,FALSE,,PAY
P1746,multi_select,random,ms_random,20,7830,8789,3454,0,1,TRUE,FALSE,FALSE,FALSE,,PAY
P1747,multi_select,semantic_blocked,ms_blocked,20,3185,3641,1859,0,1,TRUE,FALSE,FALSE,FALSE,,PAY
P1748,multi_select,random,ms_random,20,5383.5,6826,2162,0,1,TRUE,FALSE,FALSE,FALSE,,PAY
P1751,multi_select,random,ms_random,20,3325,3762,1591,0,1,TRUE,FALSE,FALSE,FALSE,,PAY
P1753,multi_select,semantic_blocked,ms_blocked,20,4566,4806,1923,0,1,TRUE,FALSE,FALSE,FALSE,,PAY
P1754,forced_choice,semantic_blocked,fc_blocked,20,4165.5,4509,2617,0,1,TRUE,FALSE,FALSE,FALSE,,PAY
P1755,forced_choice,random,fc_random,20,5071.5,5159,3200,0,1,TRUE,FALSE,FALSE,FALSE,,PAY
P1756,multi_select,random,ms_random,20,5404.5,5943,3826,0,1,TRUE,FALSE,FALSE,FALSE,,PAY
P1759,multi_select,semantic_blocked,ms_blocked,20,4294,4477,2086,0,1,TRUE,FALSE,FALSE,FALSE,,PAY
P1760,forced_choice,random,fc_random,20,5505,7453,2727,0,1,TRUE,FALSE,FALSE,FALSE,,PAY
P1762,multi_select,semantic_blocked,ms_blocked,20,5121.5,5634,2549,0,1,TRUE,FALSE,FALSE,FALSE,,PAY
P1763,forced_choice,random,fc_random,20,6742,6569,2583,0,1,TRUE,FALSE,FALSE,FALSE,,PAY
P1764,multi_select,semantic_blocked,ms_blocked,20,5651,7797,2775,0,1,TRUE,FALSE,FALSE,FALSE,,PAY
P1765,multi_select,random,ms_random,20,4284.5,5287,2530,0,1,TRUE,FALSE,FALSE,FALSE,,PAY
P1768,multi_select,semantic_blocked,ms_blocked,20,5243.5,5607,3680,0,1,TRUE,FALSE,FALSE,FALSE,,PAY
P1769,multi_select,random,ms_random,20,7552.5,8648,4984,0,1,TRUE,FALSE,FALSE,FALSE,,PAY
P1770,forced_choice,semantic_blocked,fc_blocked,20,3992,5756,3040,0,1,TRUE,FALSE,FALSE,FALSE,,PAY
P1771,forced_choice,random,fc_random,20,4381,4905,2961,0,1,TRUE,FALSE,FALSE,FALSE,,PAY
P1772,multi_select,semantic_blocked,ms_blocked,20,6919.5,7389,3358,0,1,TRUE,FALSE,FALSE,FALSE,,PAY
P1774,forced_choice,random,fc_random,20,6027,8575,3429,0,1,TRUE,FALSE,FALSE,FALSE,,PAY
P1776,multi_select,semantic_blocked,ms_blocked,20,4554,4914,2310,0,1,TRUE,FALSE,FALSE,FALSE,,PAY
P1777,multi_select,semantic_blocked,ms_blocked,20,8735,10403,5236,0,1,TRUE,FALSE,FALSE,FALSE,,PAY
P1778,forced_choice,random,fc_random,20,3735,4388,1604,0,1,TRUE,FALSE,FALSE,FALSE,,PAY
P1781,forced_choice,semantic_blocked,fc_blocked,20,3221,3327,1922,0,1,TRUE,FALSE,FALSE,FALSE,,PAY
P1784,multi_select,random,ms_random,20,7567,9084,3823,0,1,TRUE,FALSE,FALSE,FALSE,,PAY
P1785,forced_choice,random,fc_random,7,8680,17246,5283,0,1,TRUE,FALSE,FALSE,FALSE,,PAY
P1787,forced_choice,random,fc_random,20,3696,4417,2444,0,1,TRUE,FALSE,FALSE,FALSE,,PAY
P1788,forced_choice,semantic_blocked,fc_blocked,20,6656,6574,3944,0,1,TRUE,FALSE,FALSE,FALSE,,PAY
P1789,forced_choice,random,fc_random,20,7447,8100,2906,0,1,TRUE,FALSE,FALSE,FALSE,,PAY
P1790,multi_select,semantic_blocked,ms_blocked,20,5311,6276,3407,0,1,TRUE,FALSE,FALSE,FALSE,,PAY
P1791,multi_select,semantic_blocked,ms_blocked,20,3430,3698,1925,0,1,TRUE,FALSE,FALSE,FALSE,,PAY
P1792,multi_select,random,ms_random,20,6151,7200,4159,0,1,TRUE,FALSE,FALSE,FALSE,,PAY
P1793,multi_select,random,ms_random,20,6849.5,7812,4450,0,1,TRUE,FALSE,FALSE,FALSE,,PAY
P1795,multi_select,semantic_blocked,ms_blocked,20,3822.5,4435,2755,0,1,TRUE,FALSE,FALSE,FALSE,,PAY
P1796,multi_select,semantic_blocked,ms_blocked,20,4083,4083,2671,0,1,TRUE,FALSE,FALSE,FALSE,,PAY
