_id,rt,trial_type,trial_index,time_elapsed,internal_node_id,__v,response,theword,block,subject,study_id,session_id,uni_lemma,word,response_numeric,totcount
683a48b79a4a688b481a1455,5160,survey-multi-choice,4,38864,0,0,material,stone,category_organization,NA,NA,NA,stone,stone,1,9
683a48b79a4a688b481a1457,2095,survey-multi-choice,6,44111,0,0,material,fir,category_organization,NA,NA,NA,fir,fir,1,13
683a48b79a4a688b481a1459,2799,survey-multi-choice,7,46911,0,0,material,gas,category_organization,NA,NA,NA,gas,gas,1,9
683a48b79a4a688b481a145b,4112,survey-multi-choice,8,51023,0,0,shape,river,category_organization,NA,NA,NA,river,river,0,11
683a48b79a4a688b481a145d,4080,survey-multi-choice,9,55103,0,0,shape,shrimp,category_organization,NA,NA,NA,shrimp,shrimp,0,12
683a48b79a4a688b481a145f,6368,survey-multi-choice,11,64207,0,0,material,rooster,category_organization,NA,NA,NA,rooster,rooster,1,8
683a48b79a4a688b481a1461,2735,survey-multi-choice,10,57839,0,0,color,sheet,category_organization,NA,NA,NA,sheet,sheet,2,10
683a48b79a4a688b481a1463,4143,survey-multi-choice,12,68351,0,0,shape,box,category_organization,NA,NA,NA,box,box,0,14
683a48b79a4a688b481a1465,4112,survey-multi-choice,13,72463,0,0,material,kiwi,category_organization,NA,NA,NA,kiwi,kiwi,1,11
683a48b79a4a688b481a1467,4879,survey-multi-choice,14,77343,0,0,none of these,ground,category_organization,NA,NA,NA,ground,ground,3,10
683a48b79a4a688b481a1469,2959,survey-multi-choice,15,80303,0,0,none of these,back,category_organization,NA,NA,NA,back,back,3,15
683a48b79a4a688b481a146b,4160,survey-multi-choice,16,84463,0,0,material,sandal,category_organization,NA,NA,NA,sandal,sandal,1,8
683a48b79a4a688b481a146d,5071,survey-multi-choice,17,89535,0,0,material,stairs,category_organization,NA,NA,NA,stairs,stairs,1,10
683a48b79a4a688b481a146f,2560,survey-multi-choice,18,92095,0,0,material,vest,category_organization,NA,NA,NA,vest,vest,1,9
683a48b79a4a688b481a1471,5983,survey-multi-choice,19,98079,0,0,shape,bench,category_organization,NA,NA,NA,bench,bench,0,11
683a48b79a4a688b481a1473,2063,survey-multi-choice,20,100143,0,0,color,fruit,category_organization,NA,NA,NA,fruit,fruit,2,9
683a48b79a4a688b481a1475,4960,survey-multi-choice,22,108287,0,0,none of these,waves,category_organization,NA,NA,NA,waves,waves,3,10
683a48b79a4a688b481a1479,3183,survey-multi-choice,21,103327,0,0,material,peanut,category_organization,NA,NA,NA,peanut,peanut,1,10
683a48b79a4a688b481a147b,2111,survey-multi-choice,23,110399,0,0,shape,faucet,category_organization,NA,NA,NA,faucet,faucet,0,8
683a48cf9a4a688b481a1485,15725,survey-multi-choice,4,75592,0,0,none of these,picture,category_organization,NA,NA,NA,picture,picture,3,13
683a48cf9a4a688b481a1489,4745,survey-multi-choice,6,90578,0,0,none of these,shed,category_organization,NA,NA,NA,shed,shed,3,11
683a48cf9a4a688b481a148b,10239,survey-multi-choice,5,85832,0,0,material,drink (beverage),category_organization,NA,NA,NA,drink (beverage),drink (beverage),1,10
683a48cf9a4a688b481a148d,5763,survey-multi-choice,7,96342,0,0,material,raspberry,category_organization,NA,NA,NA,raspberry,raspberry,1,10
683a48cf9a4a688b481a148f,4029,survey-multi-choice,8,100372,0,0,material,tights,category_organization,NA,NA,NA,tights,tights,1,9
683a48cf9a4a688b481a1491,10521,survey-multi-choice,9,110894,0,0,shape,pear,category_organization,NA,NA,NA,pear,pear,0,9
683a48cf9a4a688b481a1493,3561,survey-multi-choice,10,114456,0,0,material,chair,category_organization,NA,NA,NA,chair,chair,1,10
683a48cf9a4a688b481a1495,4033,survey-multi-choice,11,118490,0,0,material,fir,category_organization,NA,NA,NA,fir,fir,1,13
683a48cf9a4a688b481a1497,5133,survey-multi-choice,12,123624,0,0,none of these,thing,category_organization,NA,NA,NA,thing,thing,3,15
683a48cf9a4a688b481a1499,8878,survey-multi-choice,13,132502,0,0,shape,tricycle,category_organization,NA,NA,NA,tricycle,tricycle,0,8
683a48cf9a4a688b481a149b,5920,survey-multi-choice,15,142658,0,0,shape,foot,category_organization,NA,NA,NA,foot,foot,0,11
683a48cf9a4a688b481a149d,4234,survey-multi-choice,14,136737,0,0,none of these,bee,category_organization,NA,NA,NA,bee,bee,3,12
683a48cf9a4a688b481a149f,3269,survey-multi-choice,16,145928,0,0,material,plant,category_organization,NA,NA,NA,plant,plant,1,10
683a48cf9a4a688b481a14a1,4113,survey-multi-choice,17,150041,0,0,material,glasses,category_organization,NA,NA,NA,glasses,glasses,1,11
683a48cf9a4a688b481a14a3,3088,survey-multi-choice,18,153130,0,0,none of these,song,category_organization,NA,NA,NA,song,song,3,8
683a48cf9a4a688b481a14a5,4139,survey-multi-choice,19,157270,0,0,none of these,bun,category_organization,NA,NA,NA,bun,bun,3,13
683a48cf9a4a688b481a14a7,3569,survey-multi-choice,20,160840,0,0,material,paper,category_organization,NA,NA,NA,paper,paper,1,15
683a48cf9a4a688b481a14a9,4126,survey-multi-choice,22,171843,0,0,shape,bridge,category_organization,NA,NA,NA,bridge,bridge,0,10
683a48cf9a4a688b481a14ab,6875,survey-multi-choice,21,167716,0,0,material,watch (object),category_organization,NA,NA,NA,watch (object),watch (object),1,8
683a48cf9a4a688b481a14ad,4656,survey-multi-choice,23,176500,0,0,none of these,rooster,category_organization,NA,NA,NA,rooster,rooster,3,8
683a48d29a4a688b481a14b9,6823,survey-multi-choice,4,61590,0,0,material,sponge,category_organization,NA,NA,NA,sponge,sponge,1,44
683a48d29a4a688b481a14bb,11337,survey-multi-choice,5,72932,0,0,none of these,puzzle,category_organization,NA,NA,NA,puzzle,puzzle,3,44
683a48d29a4a688b481a14bd,13519,survey-multi-choice,6,86453,0,0,none of these,closet,category_organization,NA,NA,NA,closet,closet,3,45
683a48d29a4a688b481a14bf,3912,survey-multi-choice,7,90368,0,0,none of these,shovel,category_organization,NA,NA,NA,shovel,shovel,3,48
683a48d29a4a688b481a14c1,4199,survey-multi-choice,8,94569,0,0,none of these,bush,category_organization,NA,NA,NA,bush,bush,3,49
683a48d29a4a688b481a14c3,4806,survey-multi-choice,9,99377,0,0,none of these,pocket,category_organization,NA,NA,NA,pocket,pocket,3,45
683a48d29a4a688b481a14c5,2824,survey-multi-choice,10,102203,0,0,none of these,finger,category_organization,NA,NA,NA,finger,finger,3,47
683a48d29a4a688b481a14c7,4634,survey-multi-choice,11,106839,0,0,none of these,yogurt drink,category_organization,NA,NA,NA,yogurt drink,yogurt drink,3,48
