uni_lemma,english_s1,english_s2,korean_s1,korean_s2,language,lexical_category,category,freq,concreteness,intercept,slope,aoa,logfreq
penis,0.3333333333333333,0.3333333333333333,0.5,0.8275862068965517,Korean,nouns,body_parts,-0.2506748082118866,0.8648017748984381,-7.588441489616288,0.2997292377899942,25.31765517961628,-0.2506748082118866
piano,0.7272727272727273,0.5,0.6666666666666666,0.7586206896551724,Korean,nouns,furniture_rooms,0.17474979160574464,0.7661212799967533,-7.668045809344099,0.29992604623116603,25.566455150193935,0.17474979160574464
pigeon,0.5,0.25,0.5,0.6896551724137931,Korean,nouns,animals,-0.9436441839481464,0.578628339683551,-5.764952660981649,0.20020442979815933,28.79533018721772,-0.9436441839481464
pillow,0.125,0.07692307692307693,0.4444444444444444,0.6551724137931034,Korean,nouns,furniture_rooms,-0.6649502628216771,0.8648017748984381,-6.825465199358028,0.2999958824316653,22.751862939028072,-0.6649502628216771
pizza,0.4,0.3333333333333333,0.3333333333333333,0.4827586206896552,Korean,nouns,food_drink,-0.6649502628216771,0.8648017748984381,-7.799172448443312,0.3000428631598853,25.9935276123776,-0.6649502628216771
plate,0.6666666666666666,0.9090909090909092,0.5714285714285714,0.6896551724137931,Korean,nouns,household,-1.0179379430231297,0.6378366366245617,-8.595440478675458,0.29973182773045115,28.677102941517905,-1.0179379430231297
pumpkin,0.18181818181818185,0.07692307692307693,0.25,0.4827586206896552,Korean,nouns,food_drink,-0.580722945557285,0.7661212799967533,-8.406267814905394,0.29941973474782946,28.07519625246189,-0.580722945557285
rag,0.08333333333333333,0.2222222222222222,0.4,0.5172413793103449,Korean,nouns,household,-0.9436441839481464,0.5391561417228768,-8.196585993548013,0.29968567686698117,27.350609742974665,-0.9436441839481464
refrigerator,0.3,0.3076923076923077,0.2857142857142857,0.6896551724137931,Korean,nouns,furniture_rooms,-0.4399711543669233,0.8648017748984381,-7.259684937000125,0.3000271432010141,24.196760531550424,-0.4399711543669233
rice,0.5,0.06666666666666667,0.42857142857142855,0.4482758620689655,Korean,nouns,food_drink,1.0187019786035638,0.7266490820360791,-4.300158847843809,0.15040987609969442,28.58960434881008,1.0187019786035638
roof,0.375,0.25,1,0.7241379310344828,Korean,nouns,outside,-0.2992193631765605,0.6575727356048992,-9.932041523761097,0.2997247135584119,33.13721249691174,-0.2992193631765605
room,0.6666666666666666,0.21428571428571427,0.6666666666666666,0.6551724137931034,Korean,nouns,furniture_rooms,-0.2992193631765605,0.6575727356048992,-7.078856178975695,0.29998192546596675,23.59760898254118,-0.2992193631765605
scarf,0.2,0.4444444444444444,0.2857142857142857,0.6206896551724138,Korean,nouns,clothing,-0.472325318395335,0.8351976264279324,-8.417081080465069,0.2996714961355874,28.08769332087804,-0.472325318395335
seesaw,0.2222222222222222,0.2222222222222222,0.6,0.6896551724137931,Korean,nouns,outside,-0.18421677609650824,0.7858573789770898,-7.958750612997444,0.29993448681235585,26.534963343433645,-0.18421677609650824
sheep,0.25,0.07142857142857142,0.5,0.6896551724137931,Korean,nouns,animals,0.04286139555541558,0.7661212799967533,-4.693424724383574,0.18108180965448015,25.918808373624252,0.04286139555541558
shoe,0.6,0.625,1,0.6206896551724138,Korean,nouns,clothing,0.623755186719802,0.8351976264279324,-6.154318779860206,0.2999678271630317,20.516596189881888,0.623755186719802
shoulder,0.3,0.3076923076923077,0.6666666666666666,0.8620689655172413,Korean,nouns,body_parts,-1.0179379430231297,0.7957254284672582,-8.304174009933485,0.29952180952932556,27.724772439719253,-1.0179379430231297
skirt,0.125,0.4,0.8333333333333334,0.6551724137931034,Korean,nouns,clothing,-0.2992193631765605,0.687176884075405,-8.408527711845828,0.29950202970904227,28.075027471481494,-0.2992193631765605
sled,0.4166666666666667,0.7,0.8888888888888888,0.6785714285714286,Korean,nouns,vehicles,-0.7116951934310956,0.8648017748984381,-9.732285527537048,0.299644008224391,32.47949319997395,-0.7116951934310956
slide (object),0.75,0.7777777777777778,0.5,0.7241379310344828,Korean,nouns,outside,0.6578590548067682,0.3516632014096754,-7.332340893711969,0.2997876152330268,24.458451654223584,0.6578590548067682
snake,0.6,0.2,1,0.6551724137931034,Korean,nouns,animals,-0.06921418901645653,0.8648017748984381,-7.584869450453319,0.299787479561992,25.300821306931436,-0.06921418901645653
sneaker,0.5,0.2727272727272727,0.6666666666666666,0.6206896551724138,Korean,nouns,clothing,-1.0179379430231297,0.5588922407032143,-8.2705216121789,0.29970736790625013,27.595322964385577,-1.0179379430231297
snowman,0.4,0.2222222222222222,0.2857142857142857,0.41379310344827586,Korean,nouns,outside,-0.5064291864823017,0.509551993252371,-8.069040950952848,0.2999494647725482,26.90133472007228,-0.5064291864823017
soap,0.06666666666666667,0.18181818181818185,0.25,0.4482758620689655,Korean,nouns,household,-0.7116951934310956,0.7957254284672582,-7.105136704554613,0.3000507642816748,23.67978205809406,-0.7116951934310956
sock,0.375,0.3333333333333333,0.8,0.6896551724137931,Korean,nouns,clothing,0.3131168241572082,0.7759893294869216,-6.234920448787451,0.2998927334265866,20.79050191562495,0.3131168241572082
spaghetti,0.2222222222222222,0.5,0.16666666666666666,0.3448275862068966,Korean,nouns,food_drink,-1.4551529404889745,0.8648017748984381,-10.068207708769236,0.2997746400049508,33.585922106696415,-1.4551529404889745
sparrow,0.2727272727272727,0.25,0.6,0.7241379310344828,Korean,nouns,animals,-0.22773526535583255,0.71678103254591,-4.977554634719003,0.17482764637647502,28.471210005311768,-0.22773526535583255
spoon,0.7777777777777778,0.75,0.875,0.6206896551724138,Korean,nouns,household,-1.1993985622185603,0.825329576937764,-7.024524449350393,0.29991797053719615,23.421485670793455,-1.1993985622185603
squirrel,0.625,0.2727272727272727,0.42857142857142855,0.6896551724137931,Korean,nouns,animals,0.5226161886650829,0.7562532305065841,-8.081954448898449,0.29971439627610785,26.96551967244529,0.5226161886650829
