theword,block,response,totcount,eng_response,proportion
복숭아,count_mass,셀 수 있다,2,countable,1
복숭아,count_mass,셀 수 있다,2,countable,1
복숭아,solidity,고형물,2,solid,1
복숭아,solidity,고형물,2,solid,1
부엉이,category_organization,해당 사항 없음,2,not applicable,0.5
부엉이,category_organization,형태,2,form,0.5
부엉이,count_mass,셀 수 있다,2,countable,1
부엉이,count_mass,셀 수 있다,2,countable,1
부엉이,solidity,고형물,2,solid,1
부엉이,solidity,고형물,2,solid,1
부엌,category_organization,해당 사항 없음,1,not applicable,1
부엌,count_mass,셀 수 있다,1,countable,1
부엌,solidity,고형물,2,solid,1
부엌,solidity,고형물,2,solid,1
불,category_organization,물질,4,substance,0.5
불,category_organization,물질,4,substance,0.5
불,category_organization,형태,4,form,0.5
불,category_organization,형태,4,form,0.5
불,count_mass,셀 수 없다,1,uncountable,1
불,solidity,비고형물,2,non-solid,1
불,solidity,비고형물,2,non-solid,1
불자동차/소방차,count_mass,셀 수 있다,5,countable,0.8
불자동차/소방차,count_mass,셀 수 있다,5,countable,0.8
불자동차/소방차,count_mass,셀 수 있다,5,countable,0.8
불자동차/소방차,count_mass,셀 수 있다,5,countable,0.8
불자동차/소방차,count_mass,잘 모르겠다/구분이 어렵다,5,not sure,0.2
블록,category_organization,형태,2,form,1
블록,category_organization,형태,2,form,1
블록,count_mass,셀 수 있다,2,countable,1
블록,count_mass,셀 수 있다,2,countable,1
블록,solidity,고형물,1,solid,1
비,count_mass,셀 수 없다,1,uncountable,1
비,solidity,비고형물,2,non-solid,1
비,solidity,비고형물,2,non-solid,1
비누,category_organization,물질,2,substance,1
비누,category_organization,물질,2,substance,1
비누,count_mass,셀 수 있다,1,countable,1
비누,solidity,고형물,2,solid,1
비누,solidity,고형물,2,solid,1
비누방울,count_mass,셀 수 있다,1,countable,1
비누방울,solidity,비고형물,1,non-solid,1
비둘기,category_organization,해당 사항 없음,1,not applicable,1
비둘기,count_mass,셀 수 있다,5,countable,1
비둘기,count_mass,셀 수 있다,5,countable,1
비둘기,count_mass,셀 수 있다,5,countable,1
비둘기,count_mass,셀 수 있다,5,countable,1
비둘기,count_mass,셀 수 있다,5,countable,1
비둘기,solidity,고형물,1,solid,1
비행기,category_organization,해당 사항 없음,1,not applicable,1
비행기,count_mass,셀 수 있다,2,countable,1
비행기,count_mass,셀 수 있다,2,countable,1
비행기,solidity,고형물,1,solid,1
빗,category_organization,형태,1,form,1
빗,solidity,고형물,1,solid,1
빗자루,category_organization,형태,1,form,1
빗자루,count_mass,셀 수 있다,1,countable,1
빗자루,solidity,고형물,4,solid,1
빗자루,solidity,고형물,4,solid,1
빗자루,solidity,고형물,4,solid,1
빗자루,solidity,고형물,4,solid,1
뺨,category_organization,해당 사항 없음,3,not applicable,0.6666666666666666
뺨,category_organization,해당 사항 없음,3,not applicable,0.6666666666666666
뺨,category_organization,형태,3,form,0.3333333333333333
뺨,count_mass,셀 수 있다,2,countable,1
뺨,count_mass,셀 수 있다,2,countable,1
뺨,solidity,고형물,1,solid,1
사과,category_organization,물질,2,substance,0.5
사과,category_organization,색상,2,color,0.5
사과,solidity,고형물,2,solid,1
사과,solidity,고형물,2,solid,1
사다리,count_mass,셀 수 있다,3,countable,1
사다리,count_mass,셀 수 있다,3,countable,1
사다리,count_mass,셀 수 있다,3,countable,1
사다리,solidity,고형물,1,solid,1
사슴,category_organization,물질,6,substance,0.16666666666666666
사슴,category_organization,색상,6,color,0.16666666666666666
사슴,category_organization,형태,6,form,0.6666666666666666
사슴,category_organization,형태,6,form,0.6666666666666666
사슴,category_organization,형태,6,form,0.6666666666666666
사슴,category_organization,형태,6,form,0.6666666666666666
사슴,count_mass,셀 수 있다,2,countable,1
사슴,count_mass,셀 수 있다,2,countable,1
사이다,category_organization,물질,2,substance,1
사이다,category_organization,물질,2,substance,1
사이다,count_mass,셀 수 없다,2,uncountable,0.5
사이다,count_mass,셀 수 있다,2,countable,0.5
사자,category_organization,해당 사항 없음,2,not applicable,0.5
사자,category_organization,형태,2,form,0.5
사자,count_mass,셀 수 있다,1,countable,1
사자,solidity,고형물,1,solid,1
사탕,category_organization,물질,2,substance,1
사탕,category_organization,물질,2,substance,1
사탕,count_mass,셀 수 있다,2,countable,1
사탕,count_mass,셀 수 있다,2,countable,1
사탕,solidity,고형물,4,solid,0.75
사탕,solidity,고형물,4,solid,0.75
사탕,solidity,고형물,4,solid,0.75
